Scaffold ID Short,Scaffold ID
Ga0508133_012464,3300049256 assembled Ga0508132_00028
Ga0508133_012464,3300049256 assembled Ga0508132_00033
Ga0508133_012464,3300049256 assembled Ga0508132_00075
Ga0508133_012464,3300049256 assembled Ga0508132_00127
Ga0508133_012464,3300049256 assembled Ga0508132_00162
Ga0508133_012464,3300049256 assembled Ga0508132_00167
Ga0508133_012464,3300049256 assembled Ga0508132_00580
Ga0508133_012464,3300049256 assembled Ga0508132_00782
Ga0508133_012464,3300049256 assembled Ga0508132_00875
Ga0508133_012464,3300049256 assembled Ga0508132_01496
Ga0508133_012464,3300049256 assembled Ga0508132_03257
Ga0508133_012464,3300049257 assembled Ga0508133_011510
Ga0508133_012464,3300049257 assembled Ga0508133_012464
Ga0508133_012464,3300049257 assembled Ga0508133_020762
Ga0508133_012464,3300049257 assembled Ga0508133_025413
Ga0508133_012464,3300049257 assembled Ga0508133_027599
Ga0508133_012464,3300049257 assembled Ga0508133_036416
Ga0508133_012464,3300049257 assembled Ga0508133_038098
Ga0508133_012464,3300049257 assembled Ga0508133_048492
Ga0508133_012464,3300049257 assembled Ga0508133_051046
Ga0508133_012464,3300049257 assembled Ga0508133_058714
Ga0508133_012464,3300049257 assembled Ga0508133_059482
Ga0508133_012464,3300049257 assembled Ga0508133_068354
Ga0508133_012464,3300049257 assembled Ga0508133_069359
Ga0508133_012464,3300049257 assembled Ga0508133_069401
Ga0508133_012464,3300049257 assembled Ga0508133_087240
Ga0508133_012464,3300049257 assembled Ga0508133_089599
Ga0508133_012464,3300049257 assembled Ga0508133_090749
Ga0508133_012464,3300049257 assembled Ga0508133_091670
Ga0508133_020762,3300049256 assembled Ga0508132_00003
Ga0508133_020762,3300049256 assembled Ga0508132_00006
Ga0508133_020762,3300049256 assembled Ga0508132_00011
Ga0508133_020762,3300049256 assembled Ga0508132_00015
Ga0508133_020762,3300049256 assembled Ga0508132_00022
Ga0508133_020762,3300049256 assembled Ga0508132_00028
Ga0508133_020762,3300049256 assembled Ga0508132_00033
Ga0508133_020762,3300049256 assembled Ga0508132_00075
Ga0508133_020762,3300049256 assembled Ga0508132_00127
Ga0508133_020762,3300049256 assembled Ga0508132_00162
Ga0508133_020762,3300049256 assembled Ga0508132_00167
Ga0508133_020762,3300049256 assembled Ga0508132_00580
Ga0508133_020762,3300049256 assembled Ga0508132_00782
Ga0508133_020762,3300049256 assembled Ga0508132_00875
Ga0508133_020762,3300049256 assembled Ga0508132_01496
Ga0508133_020762,3300049256 assembled Ga0508132_03257
Ga0508133_020762,3300049257 assembled Ga0508133_011510
Ga0508133_020762,3300049257 assembled Ga0508133_012464
Ga0508133_020762,3300049257 assembled Ga0508133_020762
Ga0508133_020762,3300049257 assembled Ga0508133_025413
Ga0508133_020762,3300049257 assembled Ga0508133_027599
Ga0508133_020762,3300049257 assembled Ga0508133_036416
Ga0508133_020762,3300049257 assembled Ga0508133_038098
Ga0508133_020762,3300049257 assembled Ga0508133_048492
Ga0508133_020762,3300049257 assembled Ga0508133_051046
Ga0508133_020762,3300049257 assembled Ga0508133_058714
Ga0508133_020762,3300049257 assembled Ga0508133_059482
Ga0508133_020762,3300049257 assembled Ga0508133_068354
Ga0508133_020762,3300049257 assembled Ga0508133_069359
Ga0508133_020762,3300049257 assembled Ga0508133_069401
Ga0508133_020762,3300049257 assembled Ga0508133_087240
Ga0508133_020762,3300049257 assembled Ga0508133_089599
Ga0508133_020762,3300049257 assembled Ga0508133_090749
Ga0508133_020762,3300049257 assembled Ga0508133_091670
Ga0508133_025413,3300049256 assembled Ga0508132_00003
Ga0508133_025413,3300049256 assembled Ga0508132_00006
Ga0508133_025413,3300049256 assembled Ga0508132_00011
Ga0508133_025413,3300049256 assembled Ga0508132_00015
Ga0508133_025413,3300049256 assembled Ga0508132_00022
Ga0508133_025413,3300049256 assembled Ga0508132_00028
Ga0508133_025413,3300049256 assembled Ga0508132_00033
Ga0508133_025413,3300049256 assembled Ga0508132_00075
Ga0508133_025413,3300049256 assembled Ga0508132_00127
Ga0508133_025413,3300049256 assembled Ga0508132_00162
Ga0508133_025413,3300049256 assembled Ga0508132_00167
Ga0508133_025413,3300049256 assembled Ga0508132_00580
Ga0508133_025413,3300049256 assembled Ga0508132_00782
Ga0508133_025413,3300049256 assembled Ga0508132_00875
Ga0508133_025413,3300049256 assembled Ga0508132_01496
Ga0508133_025413,3300049256 assembled Ga0508132_03257
Ga0508133_025413,3300049257 assembled Ga0508133_011510
Ga0508133_025413,3300049257 assembled Ga0508133_012464
Ga0508133_025413,3300049257 assembled Ga0508133_020762
Ga0508133_025413,3300049257 assembled Ga0508133_025413
Ga0508133_025413,3300049257 assembled Ga0508133_027599
Ga0508133_025413,3300049257 assembled Ga0508133_036416
Ga0508133_025413,3300049257 assembled Ga0508133_038098
Ga0508133_025413,3300049257 assembled Ga0508133_048492
Ga0508133_025413,3300049257 assembled Ga0508133_051046
Ga0508133_025413,3300049257 assembled Ga0508133_058714
Ga0508133_025413,3300049257 assembled Ga0508133_059482
Ga0508133_025413,3300049257 assembled Ga0508133_068354
Ga0508133_025413,3300049257 assembled Ga0508133_069359
Ga0508133_025413,3300049257 assembled Ga0508133_069401
Ga0508133_025413,3300049257 assembled Ga0508133_087240
Ga0508133_025413,3300049257 assembled Ga0508133_089599
Ga0508133_025413,3300049257 assembled Ga0508133_090749
Ga0508133_025413,3300049257 assembled Ga0508133_091670
Ga0508133_027599,3300049256 assembled Ga0508132_00003
Ga0508133_027599,3300049256 assembled Ga0508132_00006
Ga0508133_027599,3300049256 assembled Ga0508132_00011
Ga0508133_027599,3300049256 assembled Ga0508132_00015
Ga0508133_027599,3300049256 assembled Ga0508132_00022
Ga0508133_027599,3300049256 assembled Ga0508132_00028
Ga0508133_027599,3300049256 assembled Ga0508132_00033
Ga0508133_027599,3300049256 assembled Ga0508132_00075
Ga0508133_027599,3300049256 assembled Ga0508132_00127
Ga0508133_027599,3300049256 assembled Ga0508132_00162
Ga0508133_027599,3300049256 assembled Ga0508132_00167
Ga0508133_027599,3300049256 assembled Ga0508132_00580
Ga0508133_027599,3300049256 assembled Ga0508132_00782
Ga0508133_027599,3300049256 assembled Ga0508132_00875
Ga0508133_027599,3300049256 assembled Ga0508132_01496
Ga0508133_027599,3300049256 assembled Ga0508132_03257
Ga0508133_027599,3300049257 assembled Ga0508133_011510
Ga0508133_027599,3300049257 assembled Ga0508133_012464
Ga0508133_027599,3300049257 assembled Ga0508133_020762
Ga0508133_027599,3300049257 assembled Ga0508133_025413
Ga0508133_027599,3300049257 assembled Ga0508133_027599
Ga0508133_027599,3300049257 assembled Ga0508133_036416
Ga0508133_027599,3300049257 assembled Ga0508133_038098
Ga0508133_027599,3300049257 assembled Ga0508133_048492
Ga0508133_027599,3300049257 assembled Ga0508133_051046
Ga0508133_027599,3300049257 assembled Ga0508133_058714
Ga0508133_027599,3300049257 assembled Ga0508133_059482
Ga0508133_027599,3300049257 assembled Ga0508133_068354
Ga0508133_027599,3300049257 assembled Ga0508133_069359
Ga0508133_027599,3300049257 assembled Ga0508133_069401
Ga0508133_027599,3300049257 assembled Ga0508133_087240
Ga0508133_027599,3300049257 assembled Ga0508133_089599
Ga0508133_027599,3300049257 assembled Ga0508133_090749
Ga0508133_027599,3300049257 assembled Ga0508133_091670
Ga0508133_036416,3300049256 assembled Ga0508132_00003
Ga0508133_036416,3300049256 assembled Ga0508132_00006
Ga0508133_036416,3300049256 assembled Ga0508132_00011
Ga0508133_036416,3300049256 assembled Ga0508132_00015
Ga0508133_036416,3300049256 assembled Ga0508132_00022
Ga0508133_036416,3300049256 assembled Ga0508132_00028
Ga0508133_036416,3300049256 assembled Ga0508132_00033
Ga0508133_036416,3300049256 assembled Ga0508132_00075
Ga0508133_036416,3300049256 assembled Ga0508132_00127
Ga0508133_036416,3300049256 assembled Ga0508132_00162
Ga0508133_036416,3300049256 assembled Ga0508132_00167
Ga0508133_036416,3300049256 assembled Ga0508132_00580
Ga0508133_036416,3300049256 assembled Ga0508132_00782
Ga0508133_036416,3300049256 assembled Ga0508132_00875
Ga0508133_036416,3300049256 assembled Ga0508132_01496
Ga0508133_036416,3300049256 assembled Ga0508132_03257
Ga0508133_036416,3300049257 assembled Ga0508133_011510
Ga0508133_036416,3300049257 assembled Ga0508133_012464
Ga0508133_036416,3300049257 assembled Ga0508133_020762
Ga0508133_036416,3300049257 assembled Ga0508133_025413
Ga0508133_036416,3300049257 assembled Ga0508133_027599
Ga0508133_036416,3300049257 assembled Ga0508133_036416
Ga0508133_036416,3300049257 assembled Ga0508133_038098
Ga0508133_036416,3300049257 assembled Ga0508133_048492
Ga0508133_036416,3300049257 assembled Ga0508133_051046
Ga0508133_036416,3300049257 assembled Ga0508133_058714
Ga0508133_036416,3300049257 assembled Ga0508133_059482
Ga0508133_036416,3300049257 assembled Ga0508133_068354
Ga0508133_036416,3300049257 assembled Ga0508133_069359
Ga0508133_036416,3300049257 assembled Ga0508133_069401
Ga0508133_036416,3300049257 assembled Ga0508133_087240
Ga0508133_036416,3300049257 assembled Ga0508133_089599
Ga0508133_036416,3300049257 assembled Ga0508133_090749
Ga0508133_036416,3300049257 assembled Ga0508133_091670
Ga0508133_038098,3300049256 assembled Ga0508132_00003
Ga0508133_038098,3300049256 assembled Ga0508132_00006
Ga0508133_038098,3300049256 assembled Ga0508132_00011
Ga0508133_038098,3300049256 assembled Ga0508132_00015
Ga0508133_038098,3300049256 assembled Ga0508132_00022
Ga0508133_038098,3300049256 assembled Ga0508132_00028
Ga0508133_038098,3300049256 assembled Ga0508132_00033
Ga0508133_038098,3300049256 assembled Ga0508132_00075
Ga0508133_038098,3300049256 assembled Ga0508132_00127
Ga0508133_038098,3300049256 assembled Ga0508132_00162
Ga0508133_038098,3300049256 assembled Ga0508132_00167
Ga0508133_038098,3300049256 assembled Ga0508132_00580
Ga0508133_038098,3300049256 assembled Ga0508132_00782
Ga0508133_038098,3300049256 assembled Ga0508132_00875
Ga0508133_038098,3300049256 assembled Ga0508132_01496
Ga0508133_038098,3300049256 assembled Ga0508132_03257
Ga0508133_038098,3300049257 assembled Ga0508133_011510
Ga0508133_038098,3300049257 assembled Ga0508133_012464
Ga0508133_038098,3300049257 assembled Ga0508133_020762
Ga0508133_038098,3300049257 assembled Ga0508133_025413
Ga0508133_038098,3300049257 assembled Ga0508133_027599
Ga0508133_038098,3300049257 assembled Ga0508133_036416
Ga0508133_038098,3300049257 assembled Ga0508133_038098
Ga0508133_038098,3300049257 assembled Ga0508133_048492
Ga0508133_038098,3300049257 assembled Ga0508133_051046
Ga0508133_038098,3300049257 assembled Ga0508133_058714
Ga0508133_038098,3300049257 assembled Ga0508133_059482
Ga0508133_038098,3300049257 assembled Ga0508133_068354
Ga0508133_038098,3300049257 assembled Ga0508133_069359
Ga0508133_038098,3300049257 assembled Ga0508133_069401
Ga0508133_038098,3300049257 assembled Ga0508133_087240
Ga0508133_038098,3300049257 assembled Ga0508133_089599
Ga0508133_038098,3300049257 assembled Ga0508133_090749
Ga0508133_038098,3300049257 assembled Ga0508133_091670
Ga0508133_048492,3300049256 assembled Ga0508132_00003
Ga0508133_048492,3300049256 assembled Ga0508132_00006
Ga0508133_048492,3300049256 assembled Ga0508132_00011
Ga0508133_048492,3300049256 assembled Ga0508132_00015
Ga0508133_048492,3300049256 assembled Ga0508132_00022
Ga0508133_048492,3300049256 assembled Ga0508132_00028
Ga0508133_048492,3300049256 assembled Ga0508132_00033
Ga0508133_048492,3300049256 assembled Ga0508132_00075
Ga0508133_048492,3300049256 assembled Ga0508132_00127
Ga0508133_048492,3300049256 assembled Ga0508132_00162
Ga0508133_048492,3300049256 assembled Ga0508132_00167
Ga0508133_048492,3300049256 assembled Ga0508132_00580
Ga0508133_048492,3300049256 assembled Ga0508132_00782
Ga0508133_048492,3300049256 assembled Ga0508132_00875
Ga0508133_048492,3300049256 assembled Ga0508132_01496
Ga0508133_048492,3300049256 assembled Ga0508132_03257
Ga0508133_048492,3300049257 assembled Ga0508133_011510
Ga0508133_048492,3300049257 assembled Ga0508133_012464
Ga0508133_048492,3300049257 assembled Ga0508133_020762
Ga0508133_048492,3300049257 assembled Ga0508133_025413
Ga0508133_048492,3300049257 assembled Ga0508133_027599
Ga0508133_048492,3300049257 assembled Ga0508133_036416
Ga0508133_048492,3300049257 assembled Ga0508133_038098
Ga0508133_048492,3300049257 assembled Ga0508133_048492
Ga0508133_048492,3300049257 assembled Ga0508133_051046
Ga0508133_048492,3300049257 assembled Ga0508133_058714
Ga0508133_048492,3300049257 assembled Ga0508133_059482
Ga0508133_048492,3300049257 assembled Ga0508133_068354
Ga0508133_048492,3300049257 assembled Ga0508133_069359
Ga0508133_048492,3300049257 assembled Ga0508133_069401
Ga0508133_048492,3300049257 assembled Ga0508133_087240
Ga0508133_048492,3300049257 assembled Ga0508133_089599
Ga0508133_048492,3300049257 assembled Ga0508133_090749
Ga0508133_048492,3300049257 assembled Ga0508133_091670
Ga0508133_051046,3300049256 assembled Ga0508132_00003
Ga0508133_051046,3300049256 assembled Ga0508132_00006
Ga0508133_051046,3300049256 assembled Ga0508132_00011
Ga0508133_051046,3300049256 assembled Ga0508132_00015
Ga0508133_051046,3300049256 assembled Ga0508132_00022
Ga0508133_051046,3300049256 assembled Ga0508132_00028
Ga0508133_051046,3300049256 assembled Ga0508132_00033
Ga0508133_051046,3300049256 assembled Ga0508132_00075
Ga0508133_051046,3300049256 assembled Ga0508132_00127
Ga0508133_051046,3300049256 assembled Ga0508132_00162
Ga0508133_051046,3300049256 assembled Ga0508132_00167
Ga0508133_051046,3300049256 assembled Ga0508132_00580
Ga0508133_051046,3300049256 assembled Ga0508132_00782
Ga0508133_051046,3300049256 assembled Ga0508132_00875
Ga0508133_051046,3300049256 assembled Ga0508132_01496
Ga0508133_051046,3300049256 assembled Ga0508132_03257
Ga0508133_051046,3300049257 assembled Ga0508133_011510
Ga0508133_051046,3300049257 assembled Ga0508133_012464
Ga0508133_051046,3300049257 assembled Ga0508133_020762
Ga0508133_051046,3300049257 assembled Ga0508133_025413
Ga0508133_051046,3300049257 assembled Ga0508133_027599
Ga0508133_051046,3300049257 assembled Ga0508133_036416
Ga0508133_051046,3300049257 assembled Ga0508133_038098
Ga0508133_051046,3300049257 assembled Ga0508133_048492
Ga0508133_051046,3300049257 assembled Ga0508133_051046
Ga0508133_051046,3300049257 assembled Ga0508133_058714
Ga0508133_051046,3300049257 assembled Ga0508133_059482
Ga0508133_051046,3300049257 assembled Ga0508133_068354
Ga0508133_051046,3300049257 assembled Ga0508133_069359
Ga0508133_051046,3300049257 assembled Ga0508133_069401
Ga0508133_051046,3300049257 assembled Ga0508133_087240
Ga0508133_051046,3300049257 assembled Ga0508133_089599
Ga0508133_051046,3300049257 assembled Ga0508133_090749
Ga0508133_051046,3300049257 assembled Ga0508133_091670
Ga0508133_058714,3300049256 assembled Ga0508132_00003
Ga0508133_058714,3300049256 assembled Ga0508132_00006
Ga0508133_058714,3300049256 assembled Ga0508132_00011
Ga0508133_058714,3300049256 assembled Ga0508132_00015
Ga0508133_058714,3300049256 assembled Ga0508132_00022
Ga0508133_058714,3300049256 assembled Ga0508132_00028
Ga0508133_058714,3300049256 assembled Ga0508132_00033
Ga0508133_058714,3300049256 assembled Ga0508132_00075
Ga0508133_058714,3300049256 assembled Ga0508132_00127
Ga0508133_058714,3300049256 assembled Ga0508132_00162
Ga0508133_058714,3300049256 assembled Ga0508132_00167
Ga0508133_058714,3300049256 assembled Ga0508132_00580
Ga0508133_058714,3300049256 assembled Ga0508132_00782
Ga0508133_058714,3300049256 assembled Ga0508132_00875
Ga0508133_058714,3300049256 assembled Ga0508132_01496
Ga0508133_058714,3300049256 assembled Ga0508132_03257
Ga0508133_058714,3300049257 assembled Ga0508133_011510
Ga0508133_058714,3300049257 assembled Ga0508133_012464
Ga0508133_058714,3300049257 assembled Ga0508133_020762
Ga0508133_058714,3300049257 assembled Ga0508133_025413
Ga0508133_058714,3300049257 assembled Ga0508133_027599
Ga0508133_058714,3300049257 assembled Ga0508133_036416
Ga0508133_058714,3300049257 assembled Ga0508133_038098
Ga0508133_058714,3300049257 assembled Ga0508133_048492
Ga0508133_058714,3300049257 assembled Ga0508133_051046
Ga0508133_058714,3300049257 assembled Ga0508133_058714
Ga0508133_058714,3300049257 assembled Ga0508133_059482
Ga0508133_058714,3300049257 assembled Ga0508133_068354
Ga0508133_058714,3300049257 assembled Ga0508133_069359
Ga0508133_058714,3300049257 assembled Ga0508133_069401
Ga0508133_058714,3300049257 assembled Ga0508133_087240
Ga0508133_058714,3300049257 assembled Ga0508133_089599
Ga0508133_058714,3300049257 assembled Ga0508133_090749
Ga0508133_058714,3300049257 assembled Ga0508133_091670
Ga0508133_059482,3300049256 assembled Ga0508132_00003
Ga0508133_059482,3300049256 assembled Ga0508132_00006
Ga0508133_059482,3300049256 assembled Ga0508132_00011
Ga0508133_059482,3300049256 assembled Ga0508132_00015
Ga0508133_059482,3300049256 assembled Ga0508132_00022
Ga0508133_059482,3300049256 assembled Ga0508132_00028
Ga0508133_059482,3300049256 assembled Ga0508132_00033
Ga0508133_059482,3300049256 assembled Ga0508132_00075
Ga0508133_059482,3300049256 assembled Ga0508132_00127
Ga0508133_059482,3300049256 assembled Ga0508132_00162
Ga0508133_059482,3300049256 assembled Ga0508132_00167
Ga0508133_059482,3300049256 assembled Ga0508132_00580
Ga0508133_059482,3300049256 assembled Ga0508132_00782
Ga0508133_059482,3300049256 assembled Ga0508132_00875
Ga0508133_059482,3300049256 assembled Ga0508132_01496
Ga0508133_059482,3300049256 assembled Ga0508132_03257
Ga0508133_059482,3300049257 assembled Ga0508133_011510
Ga0508133_059482,3300049257 assembled Ga0508133_012464
Ga0508133_059482,3300049257 assembled Ga0508133_020762
Ga0508133_059482,3300049257 assembled Ga0508133_025413
Ga0508133_059482,3300049257 assembled Ga0508133_027599
Ga0508133_059482,3300049257 assembled Ga0508133_036416
Ga0508133_059482,3300049257 assembled Ga0508133_038098
Ga0508133_059482,3300049257 assembled Ga0508133_048492
Ga0508133_059482,3300049257 assembled Ga0508133_051046
Ga0508133_059482,3300049257 assembled Ga0508133_058714
Ga0508133_059482,3300049257 assembled Ga0508133_059482
Ga0508133_059482,3300049257 assembled Ga0508133_068354
Ga0508133_059482,3300049257 assembled Ga0508133_069359
Ga0508133_059482,3300049257 assembled Ga0508133_069401
Ga0508133_059482,3300049257 assembled Ga0508133_087240
Ga0508133_059482,3300049257 assembled Ga0508133_089599
Ga0508133_059482,3300049257 assembled Ga0508133_090749
Ga0508133_059482,3300049257 assembled Ga0508133_091670
Ga0508133_068354,3300049256 assembled Ga0508132_00003
Ga0508133_068354,3300049256 assembled Ga0508132_00006
Ga0508133_068354,3300049256 assembled Ga0508132_00011
Ga0508133_068354,3300049256 assembled Ga0508132_00015
Ga0508133_068354,3300049256 assembled Ga0508132_00022
Ga0508133_068354,3300049256 assembled Ga0508132_00028
Ga0508133_068354,3300049256 assembled Ga0508132_00033
Ga0508133_068354,3300049256 assembled Ga0508132_00075
Ga0508133_068354,3300049256 assembled Ga0508132_00127
Ga0508133_068354,3300049256 assembled Ga0508132_00162
Ga0508133_068354,3300049256 assembled Ga0508132_00167
Ga0508133_068354,3300049256 assembled Ga0508132_00580
Ga0508133_068354,3300049256 assembled Ga0508132_00782
Ga0508133_068354,3300049256 assembled Ga0508132_00875
Ga0508133_068354,3300049256 assembled Ga0508132_01496
Ga0508133_068354,3300049256 assembled Ga0508132_03257
Ga0508133_068354,3300049257 assembled Ga0508133_011510
Ga0508133_068354,3300049257 assembled Ga0508133_012464
Ga0508133_068354,3300049257 assembled Ga0508133_020762
Ga0508133_068354,3300049257 assembled Ga0508133_025413
Ga0508133_068354,3300049257 assembled Ga0508133_027599
Ga0508133_068354,3300049257 assembled Ga0508133_036416
Ga0508133_068354,3300049257 assembled Ga0508133_038098
Ga0508133_068354,3300049257 assembled Ga0508133_048492
Ga0508133_068354,3300049257 assembled Ga0508133_051046
Ga0508133_068354,3300049257 assembled Ga0508133_058714
Ga0508133_068354,3300049257 assembled Ga0508133_059482
Ga0508133_068354,3300049257 assembled Ga0508133_068354
Ga0508133_068354,3300049257 assembled Ga0508133_069359
Ga0508133_068354,3300049257 assembled Ga0508133_069401
Ga0508133_068354,3300049257 assembled Ga0508133_087240
Ga0508133_068354,3300049257 assembled Ga0508133_089599
Ga0508133_068354,3300049257 assembled Ga0508133_090749
Ga0508133_068354,3300049257 assembled Ga0508133_091670
Ga0508133_069359,3300049256 assembled Ga0508132_00003
Ga0508133_069359,3300049256 assembled Ga0508132_00006
Ga0508133_069359,3300049256 assembled Ga0508132_00011
Ga0508133_069359,3300049256 assembled Ga0508132_00015
Ga0508133_069359,3300049256 assembled Ga0508132_00022
Ga0508133_069359,3300049256 assembled Ga0508132_00028
Ga0508133_069359,3300049256 assembled Ga0508132_00033
Ga0508133_069359,3300049256 assembled Ga0508132_00075
Ga0508133_069359,3300049256 assembled Ga0508132_00127
Ga0508133_069359,3300049256 assembled Ga0508132_00162
Ga0508133_069359,3300049256 assembled Ga0508132_00167
Ga0508133_069359,3300049256 assembled Ga0508132_00580
Ga0508133_069359,3300049256 assembled Ga0508132_00782
Ga0508133_069359,3300049256 assembled Ga0508132_00875
Ga0508133_069359,3300049256 assembled Ga0508132_01496
Ga0508133_069359,3300049256 assembled Ga0508132_03257
Ga0508133_069359,3300049257 assembled Ga0508133_011510
Ga0508133_069359,3300049257 assembled Ga0508133_012464
Ga0508133_069359,3300049257 assembled Ga0508133_020762
Ga0508133_069359,3300049257 assembled Ga0508133_025413
Ga0508133_069359,3300049257 assembled Ga0508133_027599
Ga0508133_069359,3300049257 assembled Ga0508133_036416
Ga0508133_069359,3300049257 assembled Ga0508133_038098
Ga0508133_069359,3300049257 assembled Ga0508133_048492
Ga0508133_069359,3300049257 assembled Ga0508133_051046
Ga0508133_069359,3300049257 assembled Ga0508133_058714
Ga0508133_069359,3300049257 assembled Ga0508133_059482
Ga0508133_069359,3300049257 assembled Ga0508133_068354
Ga0508133_069359,3300049257 assembled Ga0508133_069359
Ga0508133_069359,3300049257 assembled Ga0508133_069401
Ga0508133_069359,3300049257 assembled Ga0508133_087240
Ga0508133_069359,3300049257 assembled Ga0508133_089599
Ga0508133_069359,3300049257 assembled Ga0508133_090749
Ga0508133_069359,3300049257 assembled Ga0508133_091670
Ga0508133_069401,3300049256 assembled Ga0508132_00003
Ga0508133_069401,3300049256 assembled Ga0508132_00006
Ga0508133_069401,3300049256 assembled Ga0508132_00011
Ga0508133_069401,3300049256 assembled Ga0508132_00015
Ga0508133_069401,3300049256 assembled Ga0508132_00022
Ga0508133_069401,3300049256 assembled Ga0508132_00028
Ga0508133_069401,3300049256 assembled Ga0508132_00033
Ga0508133_069401,3300049256 assembled Ga0508132_00075
Ga0508133_069401,3300049256 assembled Ga0508132_00127
Ga0508133_069401,3300049256 assembled Ga0508132_00162
Ga0508133_069401,3300049256 assembled Ga0508132_00167
Ga0508133_069401,3300049256 assembled Ga0508132_00580
Ga0508133_069401,3300049256 assembled Ga0508132_00782
Ga0508133_069401,3300049256 assembled Ga0508132_00875
Ga0508133_069401,3300049256 assembled Ga0508132_01496
Ga0508133_069401,3300049256 assembled Ga0508132_03257
Ga0508133_069401,3300049257 assembled Ga0508133_011510
Ga0508133_069401,3300049257 assembled Ga0508133_012464
Ga0508133_069401,3300049257 assembled Ga0508133_020762
Ga0508133_069401,3300049257 assembled Ga0508133_025413
Ga0508133_069401,3300049257 assembled Ga0508133_027599
Ga0508133_069401,3300049257 assembled Ga0508133_036416
Ga0508133_069401,3300049257 assembled Ga0508133_038098
Ga0508133_069401,3300049257 assembled Ga0508133_048492
Ga0508133_069401,3300049257 assembled Ga0508133_051046
Ga0508133_069401,3300049257 assembled Ga0508133_058714
Ga0508133_069401,3300049257 assembled Ga0508133_059482
Ga0508133_069401,3300049257 assembled Ga0508133_068354
Ga0508133_069401,3300049257 assembled Ga0508133_069359
Ga0508133_069401,3300049257 assembled Ga0508133_069401
Ga0508133_069401,3300049257 assembled Ga0508133_087240
Ga0508133_069401,3300049257 assembled Ga0508133_089599
Ga0508133_069401,3300049257 assembled Ga0508133_090749
Ga0508133_069401,3300049257 assembled Ga0508133_091670
Ga0508133_087240,3300049256 assembled Ga0508132_00003
Ga0508133_087240,3300049256 assembled Ga0508132_00006
Ga0508133_087240,3300049256 assembled Ga0508132_00011
Ga0508133_087240,3300049256 assembled Ga0508132_00015
Ga0508133_087240,3300049256 assembled Ga0508132_00022
Ga0508133_087240,3300049256 assembled Ga0508132_00028
Ga0508133_087240,3300049256 assembled Ga0508132_00033
Ga0508133_087240,3300049256 assembled Ga0508132_00075
Ga0508133_087240,3300049256 assembled Ga0508132_00127
Ga0508133_087240,3300049256 assembled Ga0508132_00162
Ga0508133_087240,3300049256 assembled Ga0508132_00167
Ga0508133_087240,3300049256 assembled Ga0508132_00580
Ga0508133_087240,3300049256 assembled Ga0508132_00782
Ga0508133_087240,3300049256 assembled Ga0508132_00875
Ga0508133_087240,3300049256 assembled Ga0508132_01496
Ga0508133_087240,3300049256 assembled Ga0508132_03257
Ga0508133_087240,3300049257 assembled Ga0508133_011510
Ga0508133_087240,3300049257 assembled Ga0508133_012464
Ga0508133_087240,3300049257 assembled Ga0508133_020762
Ga0508133_087240,3300049257 assembled Ga0508133_025413
Ga0508133_087240,3300049257 assembled Ga0508133_027599
Ga0508133_087240,3300049257 assembled Ga0508133_036416
